"module name","license","repository"
"@cycle/http@13.1.0","MIT","https://github.com/cyclejs/cyclejs/tree/master/packages/http"
"@cycle/run@1.0.0","MIT","https://github.com/cyclejs/cyclejs/tree/master/run"
"@cycle/run@3.0.0","MIT","https://github.com/cyclejs/cyclejs/tree/master/run"
"@cycle/rxjs-run@6.1.0","MIT","https://github.com/cyclejs/cyclejs/tree/master/rxjs-run"
"@cycle/time@0.7.3","MIT","https://github.com/cyclejs/time"
"@kadira/react-split-pane@1.4.7","MIT","https://github.com/kadirahq/react-split-pane"
"@kadira/react-storybook-addon-info@3.3.0","MIT","https://github.com/kadirahq/react-storybook-addon-info"
"@kadira/storybook-addon-actions@1.1.1","MIT","https://github.com/kadirahq/storybook-addon-actions"
"@kadira/storybook-addon-links@1.0.1","MIT","https://github.com/kadirahq/storybook-addon-links"
"@kadira/storybook-addons@1.6.1","MIT","https://github.com/kadirahq/storybook-addons"
"@kadira/storybook-channel-postmsg@2.0.1","MIT",""
"@kadira/storybook-channel@1.1.0","MIT",""
"@kadira/storybook-ui@3.11.0","MIT","https://github.com/kadirahq/storybook-ui"
"@kadira/storybook@2.35.3","MIT","https://github.com/kadirahq/react-storybook"
"Base64@0.2.1","WTFPL","https://github.com/davidchambers/Base64.js"
"JSONStream@0.8.4","Apache*","https://github.com/dominictarr/JSONStream"
"abab@1.0.3","ISC","https://github.com/jsdom/abab"
"abbrev@1.0.7","ISC","https://github.com/isaacs/abbrev-js"
"abbrev@1.0.9","ISC","https://github.com/isaacs/abbrev-js"
"abbrev@1.1.0","ISC","https://github.com/isaacs/abbrev-js"
"accepts@1.3.3","MIT","https://github.com/jshttp/accepts"
"acorn-globals@3.1.0","MIT","https://github.com/ForbesLindesay/acorn-globals"
"acorn-jsx@3.0.1","MIT","https://github.com/RReverser/acorn-jsx"
"acorn@3.3.0","MIT","https://github.com/ternjs/acorn"
"acorn@4.0.11","MIT","https://github.com/ternjs/acorn"
"acorn@4.0.4","MIT","https://github.com/ternjs/acorn"
"airbnb-js-shims@1.1.1","MIT","https://github.com/airbnb/js-shims"
"ajv-keywords@1.5.1","MIT","https://github.com/epoberezkin/ajv-keywords"
"ajv@4.11.5","MIT","https://github.com/epoberezkin/ajv"
"align-text@0.1.4","MIT","https://github.com/jonschlinkert/align-text"
"alphanum-sort@1.0.2","MIT","https://github.com/TrySound/alphanum-sort"
"amdefine@1.0.1","BSD-3-Clause OR MIT","https://github.com/jrburke/amdefine"
"ansi-align@1.1.0","ISC","https://github.com/nexdrew/ansi-align"
"ansi-escapes@1.4.0","MIT","https://github.com/sindresorhus/ansi-escapes"
"ansi-html@0.0.5","Apache, Version 2.0","https://github.com/Tjatse/ansi-html"
"ansi-html@0.0.6","Apache-2.0","https://github.com/Tjatse/ansi-html"
"ansi-html@0.0.7","Apache-2.0","https://github.com/Tjatse/ansi-html"
"ansi-regex@2.0.0","MIT","https://github.com/sindresorhus/ansi-regex"
"ansi-regex@2.1.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@1.0.0","MIT","https://github.com/sindresorhus/ansi-styles"
"ansi-styles@2.2.1","MIT","https://github.com/chalk/ansi-styles"
"ansi-styles@3.0.0","MIT","https://github.com/chalk/ansi-styles"
"ansi@0.3.1","MIT","https://github.com/TooTallNate/ansi.js"
"ansicolors@0.2.1","MIT","https://github.com/thlorenz/ansicolors"
"ansicolors@0.3.2","MIT","https://github.com/thlorenz/ansicolors"
"ansistyles@0.1.3","MIT","https://github.com/thlorenz/ansistyles"
"any-promise@1.3.0","MIT","https://github.com/kevinbeaty/any-promise"
"anymatch@1.3.0","ISC","https://github.com/es128/anymatch"
"append-transform@0.4.0","MIT","https://github.com/jamestalmage/append-transform"
"aproba@1.0.1","ISC","https://github.com/iarna/aproba"
"aproba@1.0.4","ISC","https://github.com/iarna/aproba"
